ID,Species,Country,Owner,Grade,ICP,Completed
#633794,Arabica,Thailand,Phongsathorn Khunta,88.0,SCITH,07-08-2025
#987322,Arabica,Thailand,Chaloempong Funna,87.67,SCITH,08-26-2025
#152908,Arabica,Thailand,Natee Santiphoomsawan,87.67,SOCOF,10-02-2025
#862224,Arabica,Thailand,Pimpha,87.5,SOCOF,10-02-2025
#397214,Arabica,Thailand,Pornpipat,87.5,SOCOF,10-02-2025
#215586,Arabica,Thailand,Parichat Saensong,87.5,SCITH,07-08-2025
#685946,Arabica,Thailand,Kanjana inja,87.42,SOCOF,10-02-2025
#582775,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,87.17,Taiwan Coffee Laboratory,09-26-2025
#900142,Arabica,Ethiopia,Hans Zevenhek,87.0,metad,09-10-2025
#418738,Arabica,Vietnam,carabu,87.0,HQJ Coffee School,07-09-2025
#146375,Arabica,Vietnam,Thang Ho Hoang Minh,86.92,HQJ Coffee School,07-09-2025
#838474,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.92,Taiwan Coffee Laboratory,09-26-2025
#385363,Arabica,Vietnam,Đinh Tiên Bảo San,86.75,HQJ Coffee School,07-09-2025
#226710,Arabica,Vietnam,Hạt Rừng,86.75,HQJ Coffee School,07-09-2025
#333643,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.58,Taiwan Coffee Laboratory,07-15-2025
#396506,Arabica,Thailand,Phongsathorn Khunta,86.58,SCITH,08-26-2025
#827199,Arabica,Thailand,Tanawit Thirintong,86.42,SCITH,08-26-2025
#600524,Arabica,Ethiopia,Taiwan Coffee Laboratory 台灣咖啡研究室,86.42,Taiwan Coffee Laboratory,09-26-2025
#644346,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.42,Taiwan Coffee Laboratory,09-26-2025
#325192,Arabica,Vietnam,Thang Ho Hoang Minh,86.33,HQJ Coffee School,07-09-2025
#746051,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.33,Taiwan Coffee Laboratory,09-12-2025
#907837,Arabica,Vietnam,Kra Jan Ha Djim,86.33,HQJ Coffee School,07-09-2025
#838985,Arabica,Thailand,Theerachart Satittampana,86.25,SCITH,08-26-2025
#705014,Arabica,Vietnam,Ta tuan anh,86.25,HQJ Coffee School,07-09-2025
#148284,Arabica,Vietnam,Aeroco coffee,86.17,HQJ Coffee School,07-09-2025
#968240,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.08,Taiwan Coffee Laboratory,09-12-2025
#247441,Arabica,Guatemala,Taiwan Coffee Laboratory 台灣咖啡研究室,86.08,Taiwan Coffee Laboratory,09-26-2025
#706987,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,86.08,Taiwan Coffee Laboratory,09-18-2025
#938025,Arabica,Indonesia,shameel,86.08,EKATA COFFEE CENTER,10-13-2025
#641304,Arabica,Thailand,Kantima Tadplevthong,86.0,SCITH,08-26-2025
#109086,Arabica,Japan,Yayoi Nakasone,85.83,Taiwan Coffee Laboratory,09-26-2025
#568103,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.83,Taiwan Coffee Laboratory,09-26-2025
#673360,Arabica,Vietnam,Nguyễn Hương Thi,85.75,HQJ Coffee School,07-10-2025
#681910,Arabica,Thailand,Charoen Aunthin,85.75,SOCOF,10-02-2025
#590156,Arabica,Ethiopia,Gireesh Singh Chowdhury,85.67,Torch Coffee Company,"Jul 7th, 2025"
#906338,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.67,Taiwan Coffee Laboratory,"Sep 26th, 2025"
#572878,Arabica,Thailand,Surachet Uttasahamongkol,85.67,SCITH,"Aug 26th, 2025"
#255612,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.67,Taiwan Coffee Laboratory,"Jul 15th, 2025"
#806635,Arabica,Thailand,Kantima Tadplevthong,85.58,SCITH,"Aug 26th, 2025"
#259196,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.58,Taiwan Coffee Laboratory,"Sep 12th, 2025"
#820983,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.58,Taiwan Coffee Laboratory,"Sep 18th, 2025"
#262709,Arabica,Thailand,Napaporn Kamnoedmongkhon,85.5,SOCOF,"Oct 2nd, 2025"
#271225,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.42,Taiwan Coffee Laboratory,07-15-2025
#671293,Arabica,Ethiopia,Gireesh Singh Chowdhury,85.42,Torch Coffee Company,"Jul 7th, 2025"
#866293,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.42,Taiwan Coffee Laboratory,"Jul 15th, 2025"
#472834,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.33,Taiwan Coffee Laboratory,09-26-2025
#292896,Arabica,Vietnam,Đinh Tiên Bảo San,85.33,HQJ Coffee School,07-09-2025
#488603,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.33,Taiwan Coffee Laboratory,07-15-2025
#278317,Arabica,Vietnam,Thang Ho Hoang Minh,85.33,HQJ Coffee School,07-09-2025
#281734,Arabica,Taiwan,Taiwan Coffee Laboratory 台灣咖啡研究室,85.33,Taiwan Coffee Laboratory,07-15-2025
